example_id                                                          | status  | run_time        |
./spec/cli/validator_spec.rb[1:4:3:1]                               | passed  | 0.00015 seconds |
./spec/cli/validator_spec.rb[1:4:3:2]                               | passed  | 0.00024 seconds |
./spec/cli/validator_spec.rb[1:4:4:1]                               | passed  | 0.00029 seconds |
./spec/cli/validator_spec.rb[1:4:4:2]                               | passed  | 0.00008 seconds |
./spec/cli/validator_spec.rb[1:4:5:1]                               | passed  | 0.00015 seconds |
./spec/cli/validator_spec.rb[1:5:1:1]                               | passed  | 0.00021 seconds |
./spec/cli/validator_spec.rb[1:5:2:1]                               | passed  | 0.00178 seconds |
./spec/client/generator_base_spec.rb[1:1:1]                         | passed  | 0.00009 seconds |
./spec/client/generator_base_spec.rb[1:1:2]                         | passed  | 0.00008 seconds |
./spec/client/generator_base_spec.rb[1:2:1]                         | passed  | 0.00081 seconds |
./spec/client/generator_base_spec.rb[1:3:1:1]                       | passed  | 0.00009 seconds |
./spec/client/generator_base_spec.rb[1:3:1:2]                       | passed  | 0.00007 seconds |
./spec/client/generator_base_spec.rb[1:3:2:1]                       | passed  | 0.00008 seconds |
./spec/client/generator_base_spec.rb[1:4:1]                         | passed  | 0.00011 seconds |
./spec/client/generator_base_spec.rb[1:4:2]                         | passed  | 0.00006 seconds |
./spec/client/generator_base_spec.rb[1:5:1]                         | passed  | 0.00006 seconds |
./spec/client/generator_base_spec.rb[1:5:2]                         | passed  | 0.00007 seconds |
./spec/client/generator_base_spec.rb[1:6:1:1]                       | passed  | 0.00011 seconds |
./spec/client/generator_base_spec.rb[1:6:2:1]                       | passed  | 0.00016 seconds |
./spec/client/generator_base_spec.rb[1:6:3:1]                       | passed  | 0.00011 seconds |
./spec/client/generator_base_spec.rb[1:6:3:2]                       | passed  | 0.00005 seconds |
./spec/client/generator_base_spec.rb[1:6:4:1]                       | passed  | 0.00012 seconds |
./spec/client/generator_base_spec.rb[1:6:4:2]                       | passed  | 0.00005 seconds |
./spec/client/generator_base_spec.rb[1:7:1]                         | passed  | 0.00022 seconds |
./spec/client/typescript_generator_spec.rb[1:1:1]                   | passed  | 0.00011 seconds |
./spec/client/typescript_generator_spec.rb[1:1:2]                   | passed  | 0.00004 seconds |
./spec/client/typescript_generator_spec.rb[1:2:1]                   | passed  | 0.0006 seconds  |
./spec/client/typescript_generator_spec.rb[1:2:2]                   | passed  | 0.00018 seconds |
./spec/client/typescript_generator_spec.rb[1:2:3]                   | passed  | 0.00051 seconds |
./spec/client/typescript_generator_spec.rb[1:2:4]                   | passed  | 0.0002 seconds  |
./spec/client/typescript_generator_spec.rb[1:2:5]                   | passed  | 0.00018 seconds |
./spec/client/typescript_generator_spec.rb[1:2:6]                   | passed  | 0.00059 seconds |
./spec/client/typescript_generator_spec.rb[1:2:7]                   | passed  | 0.00019 seconds |
./spec/client/typescript_generator_spec.rb[1:2:8]                   | passed  | 0.00027 seconds |
./spec/client/typescript_generator_spec.rb[1:3:1]                   | passed  | 0.00011 seconds |
./spec/client/typescript_generator_spec.rb[1:3:2]                   | passed  | 0.0001 seconds  |
./spec/client/typescript_generator_spec.rb[1:3:3]                   | passed  | 0.00009 seconds |
./spec/client/typescript_generator_spec.rb[1:4:1]                   | passed  | 0.00149 seconds |
./spec/client/typescript_generator_spec.rb[1:5:1]                   | passed  | 0.00058 seconds |
./spec/client/typescript_generator_spec.rb[1:5:2]                   | passed  | 0.0006 seconds  |
./spec/client/typescript_generator_spec.rb[1:5:3]                   | passed  | 0.00097 seconds |
./spec/client/typescript_generator_spec.rb[1:6:1]                   | passed  | 0.00012 seconds |
./spec/client/typescript_generator_spec.rb[1:6:2]                   | passed  | 0.00012 seconds |
./spec/client/typescript_generator_spec.rb[1:7:1]                   | passed  | 0.00131 seconds |
./spec/client/typescript_generator_spec.rb[1:7:2]                   | passed  | 0.00059 seconds |
./spec/client/typescript_generator_spec.rb[1:7:3]                   | passed  | 0.00127 seconds |
./spec/core/endpoint_spec.rb[1:1:1]                                 | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:1:2]                                 | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:2:1]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:2:2]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:2:3]                                 | passed  | 0.00002 seconds |
./spec/core/endpoint_spec.rb[1:2:4]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:2:5]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:2:6]                                 | passed  | 0.00002 seconds |
./spec/core/endpoint_spec.rb[1:2:7]                                 | passed  | 0.00002 seconds |
./spec/core/endpoint_spec.rb[1:3:1]                                 | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:3:2]                                 | passed  | 0.00005 seconds |
./spec/core/endpoint_spec.rb[1:4:1]                                 | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:4:2]                                 | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:5:1]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:5:2]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:5:3]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:6:1]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:6:2]                                 | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:7:1]                                 | passed  | 0.00002 seconds |
./spec/core/endpoint_spec.rb[1:7:2]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:7:3]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:7:4]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:7:5]                                 | passed  | 0.00003 seconds |
./spec/core/endpoint_spec.rb[1:8:1:1]                               | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:8:2:1]                               | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:8:3:1]                               | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:8:4:1]                               | passed  | 0.00007 seconds |
./spec/core/endpoint_spec.rb[1:8:5:1]                               | passed  | 0.00004 seconds |
./spec/core/endpoint_spec.rb[1:9:1]                                 | passed  | 0.00006 seconds |
./spec/core/input_spec.rb[1:1:1]                                    | passed  | 0.00003 seconds |
./spec/core/input_spec.rb[1:1:2]                                    | passed  | 0.00004 seconds |
./spec/core/input_spec.rb[1:1:3]                                    | passed  | 0.00003 seconds |
./spec/core/input_spec.rb[1:1:4]                                    | passed  | 0.00003 seconds |
./spec/core/input_spec.rb[1:1:5]                                    | passed  | 0.00003 seconds |
./spec/core/input_spec.rb[1:1:6]                                    | passed  | 0.00003 seconds |
./spec/core/input_spec.rb[1:2:1]                                    | passed  | 0.00003 seconds |
./spec/core/input_spec.rb[1:2:2]                                    | passed  | 0.00003 seconds |
./spec/core/input_spec.rb[1:3:1]                                    | passed  | 0.00002 seconds |
./spec/core/input_spec.rb[1:3:2]                                    | passed  | 0.00003 seconds |
./spec/core/input_spec.rb[1:4:1:1]                                  | passed  | 0.00013 seconds |
./spec/core/input_spec.rb[1:4:2:1]                                  | passed  | 0.00003 seconds |
./spec/core/input_spec.rb[1:4:3:1]                                  | passed  | 0.00004 seconds |
./spec/core/input_spec.rb[1:4:4:1]                                  | passed  | 0.00004 seconds |
./spec/core/input_spec.rb[1:4:5:1]                                  | passed  | 0.00021 seconds |
./spec/core/input_spec.rb[1:4:6:1]                                  | passed  | 0.00004 seconds |
./spec/core/input_spec.rb[1:4:7:1]                                  | passed  | 0.00005 seconds |
./spec/core/input_spec.rb[1:5:1:1]                                  | passed  | 0.00004 seconds |
./spec/core/input_spec.rb[1:5:2:1]                                  | passed  | 0.00004 seconds |
./spec/core/input_spec.rb[1:5:2:2]                                  | passed  | 0.00004 seconds |
./spec/core/input_spec.rb[1:5:3:1]                                  | passed  | 0.00004 seconds |
./spec/core/input_spec.rb[1:6:1]                                    | passed  | 0.00004 seconds |
./spec/core/output_spec.rb[1:1:1]                                   | passed  | 0.00004 seconds |
./spec/core/output_spec.rb[1:1:2]                                   | passed  | 0.00006 seconds |
./spec/core/output_spec.rb[1:1:3]                                   | passed  | 0.00004 seconds |
./spec/core/output_spec.rb[1:1:4]                                   | passed  | 0.00006 seconds |
./spec/core/output_spec.rb[1:2:1:1]                                 | passed  | 0.00004 seconds |
./spec/core/output_spec.rb[1:2:2:1]                                 | passed  | 0.00005 seconds |
./spec/core/output_spec.rb[1:2:3:1]                                 | passed  | 0.00004 seconds |
./spec/core/output_spec.rb[1:2:3:2]                                 | passed  | 0.00004 seconds |
./spec/core/output_spec.rb[1:3:1:1]                                 | passed  | 0.00013 seconds |
./spec/core/output_spec.rb[1:3:1:2]                                 | passed  | 0.00003 seconds |
./spec/core/output_spec.rb[1:3:1:3]                                 | passed  | 0.00012 seconds |
./spec/core/output_spec.rb[1:3:2:1]                                 | passed  | 0.00004 seconds |
./spec/core/output_spec.rb[1:3:2:2]                                 | passed  | 0.00004 seconds |
./spec/core/output_spec.rb[1:3:3:1]                                 | passed  | 0.00006 seconds |
./spec/core/output_spec.rb[1:3:4:1]                                 | passed  | 0.00005 seconds |
./spec/core/output_spec.rb[1:4:1]                                   | passed  | 0.00004 seconds |
./spec/debug_logger_spec.rb[1:1]                                    | passed  | 0.00005 seconds |
./spec/docs/html_generator_spec.rb[1:1:1]                           | passed  | 0.00008 seconds |
./spec/docs/html_generator_spec.rb[1:1:2]                           | passed  | 0.00004 seconds |
./spec/docs/html_generator_spec.rb[1:2:1]                           | passed  | 0.00054 seconds |
./spec/docs/html_generator_spec.rb[1:2:2]                           | passed  | 0.00029 seconds |
./spec/docs/html_generator_spec.rb[1:2:3]                           | passed  | 0.00014 seconds |
./spec/docs/html_generator_spec.rb[1:2:4]                           | passed  | 0.00014 seconds |
./spec/docs/html_generator_spec.rb[1:2:5]                           | passed  | 0.00014 seconds |
./spec/docs/html_generator_spec.rb[1:2:6]                           | passed  | 0.00027 seconds |
./spec/docs/html_generator_spec.rb[1:2:7]                           | passed  | 0.00015 seconds |
./spec/docs/html_generator_spec.rb[1:2:8]                           | passed  | 0.00028 seconds |
./spec/docs/html_generator_spec.rb[1:2:9]                           | passed  | 0.00024 seconds |
./spec/docs/html_generator_spec.rb[1:2:10]                          | passed  | 0.00014 seconds |
./spec/docs/html_generator_spec.rb[1:2:11]                          | passed  | 0.0003 seconds  |
./spec/docs/html_generator_spec.rb[1:3:1]                           | passed  | 0.00066 seconds |
./spec/docs/html_generator_spec.rb[1:4:1:1]                         | passed  | 0.00011 seconds |
./spec/docs/html_generator_spec.rb[1:4:2:1]                         | passed  | 0.00011 seconds |
./spec/docs/html_generator_spec.rb[1:4:3:1]                         | passed  | 0.0001 seconds  |
./spec/docs/html_generator_spec.rb[1:4:4:1]                         | passed  | 0.00013 seconds |
./spec/docs/html_generator_spec.rb[1:5:1:1]                         | passed  | 0.00013 seconds |
./spec/docs/html_generator_spec.rb[1:5:2:1]                         | passed  | 0.00008 seconds |
./spec/docs/html_generator_spec.rb[1:6:1]                           | passed  | 0.00012 seconds |
./spec/docs/html_generator_spec.rb[1:6:2]                           | passed  | 0.00019 seconds |
./spec/docs/markdown_generator_spec.rb[1:1:1]                       | passed  | 0.0002 seconds  |
./spec/docs/markdown_generator_spec.rb[1:1:2]                       | passed  | 0.00004 seconds |
./spec/docs/markdown_generator_spec.rb[1:2:1]                       | passed  | 0.00198 seconds |
./spec/docs/markdown_generator_spec.rb[1:2:2]                       | passed  | 0.00185 seconds |
